"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"19/09/2022","00:00","3899,98","213,73","214,34"
"19/09/2022","01:00","3657,98","200,47","201,04"
"19/09/2022","02:00","2999,99","164,41","164,88"
"19/09/2022","03:00","3299,98","180,85","181,36"
"19/09/2022","04:00","2749,99","150,71","151,14"
"19/09/2022","05:00","2749,98","150,71","151,14"
"19/09/2022","06:00","2749,98","150,71","151,14"
"19/09/2022","07:00","3484,99","190,99","191,53"
"19/09/2022","08:00","4800,00","263,05","263,80"
"19/09/2022","09:00","4642,99","254,45","255,17"
"19/09/2022","10:00","3997,99","219,10","219,73"
"19/09/2022","11:00","4028,71","220,78","221,41"
"19/09/2022","12:00","3299,99","180,85","181,36"
"19/09/2022","13:00","4188,99","229,57","230,22"
"19/09/2022","14:00","4650,82","254,88","255,60"
"19/09/2022","15:00","4750,00","260,31","261,05"
"19/09/2022","16:00","4800,00","263,05","263,80"
"19/09/2022","17:00","4800,00","263,05","263,80"
"19/09/2022","18:00","4800,00","263,05","263,80"
"19/09/2022","19:00","4800,00","263,05","263,80"
"19/09/2022","20:00","4800,00","263,05","263,80"
"19/09/2022","21:00","4647,99","254,72","255,45"
"19/09/2022","22:00","4500,00","246,61","247,32"
"19/09/2022","23:00","3980,01","218,11","218,74"
"20/09/2022","00:00","4790,01","262,50","263,25"
"20/09/2022","01:00","4650,01","254,83","255,56"
"20/09/2022","02:00","4250,01","232,91","233,58"
"20/09/2022","03:00","3679,26","201,63","202,21"
"20/09/2022","04:00","3657,88","200,46","201,03"
"20/09/2022","05:00","3290,00","180,30","180,81"
"20/09/2022","06:00","3290,01","180,30","180,82"
"20/09/2022","07:00","3849,98","210,99","211,59"
"20/09/2022","08:00","4300,65","235,69","236,36"
"20/09/2022","09:00","4329,00","237,24","237,92"
"20/09/2022","10:00","4118,01","225,68","226,32"
"20/09/2022","11:00","4118,00","225,68","226,32"
"20/09/2022","12:00","3299,98","180,85","181,36"
"20/09/2022","13:00","4037,27","221,25","221,88"
"20/09/2022","14:00","4171,06","228,58","229,24"
"20/09/2022","15:00","4490,01","246,06","246,77"
"20/09/2022","16:00","4237,01","232,20","232,86"
"20/09/2022","17:00","4599,98","252,09","252,81"
"20/09/2022","18:00","4237,01","232,20","232,86"
"20/09/2022","19:00","4650,01","254,83","255,56"
"20/09/2022","20:00","4700,00","257,57","258,31"
"20/09/2022","21:00","4529,01","248,20","248,91"
"20/09/2022","22:00","3597,99","197,18","197,74"
"20/09/2022","23:00","2749,99","150,71","151,14"
"21/09/2022","00:00","4642,99","254,19","254,73"
"21/09/2022","01:00","3646,12","199,61","200,04"
"21/09/2022","02:00","3000,01","164,24","164,59"
"21/09/2022","03:00","3281,00","179,63","180,01"
"21/09/2022","04:00","3359,99","183,95","184,34"
"21/09/2022","05:00","3280,99","179,62","180,01"
"21/09/2022","06:00","3999,78","218,98","219,44"
"21/09/2022","07:00","3646,13","199,62","200,04"
"21/09/2022","08:00","4700,01","257,31","257,86"
"21/09/2022","09:00","4114,59","225,26","225,74"
"21/09/2022","10:00","3921,87","214,71","215,17"
"21/09/2022","11:00","4200,01","229,94","230,43"
"21/09/2022","12:00","3299,98","180,66","181,05"
"21/09/2022","13:00","3824,60","209,39","209,83"
"21/09/2022","14:00","4397,92","240,77","241,28"
"21/09/2022","15:00","4499,98","246,36","246,88"
"21/09/2022","16:00","4499,98","246,36","246,88"
"21/09/2022","17:00","4499,98","246,36","246,88"
"21/09/2022","18:00","3976,08","217,68","218,14"
"21/09/2022","19:00","4200,01","229,94","230,43"
"21/09/2022","20:00","3979,99","217,89","218,36"
"21/09/2022","21:00","3300,01","180,67","181,05"
